State,Democratic,Republican,Other,Total,Year
Alabama,621911,1222018,0,1843929,2016
Alaska,111019,155088,31770,297877,2016
Arizona,1078620,1266088,110760,2455468,2016
Arkansas,111347,760415,196512,1068274,2016
California,8358598,4947867,94312,13400777,2016
Colorado,1263791,1288618,143338,2695747,2016
Connecticut,984082,568134,0,1552216,2016
Delaware,233554,172301,14762,420617,2016
Florida,3985050,4733630,0,8718680,2016
Georgia,1498437,2272460,0,3770897,2016
Hawaii,316265,85626,0,401891,2016
Idaho,208992,447544,0,656536,2016
Illinois,2810536,2397436,0,5207972,2016
Indiana,1052901,1442989,162460,2658350,2016
Iowa,673969,813153,0,1487122,2016
Kansas,317635,694240,74227,1086102,2016
Kentucky,516904,1248140,0,1765044,2016
Louisiana,564064,1198765,0,1762829,2016
Maine,386627,357447,0,744074,2016
Maryland,1636281,962307,0,2598588,2016
Massachusetts,2344518,451121,0,2795639,2016
Michigan,2193980,2243402,0,4437382,2016
Minnesota,1434590,1334686,0,2769276,2016
Mississippi,449896,680810,0,1130706,2016
Missouri,1041306,1600524,0,2641830,2016
Montana,205919,285358,0,491277,2016
Nebraska,221069,557557,0,778626,2016
Nevada,508113,498104,0,1006217,2016
New Hampshire,336575,316149,0,652724,2016
New Jersey,1821620,1541631,0,3363251,2016
New Mexico,436932,343193,0,780125,2016
New York,4456967,2525426,0,6982393,2016
North Carolina,2142661,2447326,0,4589987,2016
North Dakota,80377,233980,23528,337885,2016
Ohio,2154523,2996017,0,5150540,2016
Oklahoma,305222,781691,0,1086913,2016
Oregon,1026851,730894,0,1757745,2016
Pennsylvania,2625157,3096576,0,5721733,2016
Rhode Island,263648,141324,0,404972,2016
South Carolina,767627,1177365,0,1944992,2016
South Dakota,132810,237163,0,369973,2016
Tennessee,814181,1493740,0,2307921,2016
Texas,3160535,4877605,0,8038140,2016
Utah,356287,710635,0,1066922,2016
Vermont,264414,0,29410,293824,2016
Virginia,1859426,1843010,0,3702436,2016
Washington,1736145,1404890,0,3141035,2016
West Virginia,224449,445017,6277,675743,2016
Wisconsin,1379998,1270448,0,2650446,2016
Wyoming,156176,75466,0,231642,2016
